Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Haemoglobin urine present,spotting_ urination,,,
Scleral discolouration,,,,
Rhinoplasty,,,,
Chronic lymphocytic leukaemia refractory,,,,
Urine protein/creatinine ratio increased,,,,
Vesicoureteric reflux,,,,
Physical product label issue,,,,
Porphyria non-acute,,,,
Hyperkinetic heart syndrome,,,,
Haematoma muscle,,,,
Ureteric cancer metastatic,,,,
Muscle rupture,,,,
Arterial injury,,,,
Blood iron increased,,,,
Intestine transplant rejection,,,,
Vitamin A deficiency,,,,
Optic disc haemorrhage,,,,
Neurological procedural complication,,,,
Tarsal tunnel syndrome,,,,
Distichiasis,,,,
Sudden onset of sleep,,,,
Serum amyloid A protein increased,,,,
Papillitis,,,,
Scrotal swelling,,,,
Acquired factor VIII deficiency,,,,
Eosinophilic pneumonia chronic,,,,
Urethral cancer,,,,
Typhoid fever,high_fever,,,
Malaise,malaise,,,
Oxygen therapy,,,,
Pulmonary haemorrhage,,,,
Congenital torticollis,,,,
Dizziness exertional,dizziness,unsteadiness,loss_of_balance,
Nephroblastoma,,,,
Brain stem stroke,,,,
Cerebrospinal fluid retention,,,,
Fat embolism syndrome,,,,
Metastases to peritoneum,,,,
Peritoneal cloudy effluent,,,,
Nightmare,,,,
Metastases to thorax,,,,
Fulminant type 1 diabetes mellitus,,,,
Ventricular assist device insertion,,,,
Foramen magnum stenosis,,,,
Thrombotic microangiopathy,,,,
Optic nerve cupping,,,,
Post infection glomerulonephritis,,,,
Alveolitis,,,,
Pregnancy with implant contraceptive,,,,
Eye infection staphylococcal,,,,
Hypertonia,,,,
Neck injury,neck_pain,stiff_neck,,
Foetal heart rate decreased,,,,
Nephrectomy,,,,
Foreign body embolism,,,,
Complication of delivery,,,,
Hepatic mass,,,,
Listeriosis,,,,
Carnitine increased,,,,
Subvalvular aortic stenosis,,,,
Hungry bone syndrome,,,,
Renal fusion anomaly,,,,
Mucosal membrane hyperplasia,,,,
Abdominal wall oedema,,,,
QRS axis abnormal,,,,
Adhesiolysis,,,,
Transplantation complication,,,,
Laryngeal discomfort,,,,
Foetal death,,,,
Seasonal allergy,,,,
Injury,,,,
Galactosaemia,,,,
Nail infection,brittle_nails,,,
Application site erythema,,,,
Pituitary-dependent Cushing's syndrome,,,,
Non-small cell lung cancer metastatic,,,,
Haemorrhagic fever,high_fever,,,
Accommodation disorder,,,,
Laryngeal stenosis,,,,
Rash rubelliform,,,,
Brain neoplasm benign,,,,
Wound dehiscence,,,,
Familial cold autoinflammatory syndrome,,,,
Bacterial sepsis,,,,
Bone development abnormal,,,,
Detoxification,,,,
Cachexia,,,,
Hypercalciuria,,,,
Priapism,,,,
Grunting,,,,
Distractibility,,,,
Unemployment,,,,
Wound infection pseudomonas,,,,
Right ventricular hypertrophy,,,,
Drug withdrawal syndrome neonatal,,,,
Urostomy complication,,,,
Aorto-oesophageal fistula,,,,
Meningitis fungal,,,,
Haemangioma of skin,,,,
Gingival erosion,,,,
Chronic kidney disease-mineral and bone disorder,,,,
Pancreatic carcinoma,,,,
"Blood 1,25-dihydroxycholecalciferol decreased",,,,
Neuromyelitis optica spectrum disorder,,,,
Ear neoplasm malignant,,,,
Menstrual discomfort,,,,
Injection site injury,,,,
Hypertensive heart disease,,,,
Computerised tomogram kidney abnormal,,,,
Ovarian germ cell tumour,,,,
Alcohol interaction,,,,
B-lymphocyte abnormalities,,,,
Sperm concentration decreased,,,,
Systemic bacterial infection,,,,
Menstrual disorder,abnormal_menstruation,,,
Persistent left superior vena cava,,,,
Mucosal pain,,,,
Teeth brittle,,,,
Salmonella sepsis,,,,
Duodenal ulcer perforation,,,,
Encephalitis cytomegalovirus,,,,
Orthostatic hypotension,,,,
Intercepted product administration error,,,,
Adenotonsillectomy,,,,
Neonatal hypoxia,,,,
Liver scan abnormal,,,,
Thyroid operation,,,,
Neonatal seizure,,,,
Intestinal mass,,,,
Administration site warmth,,,,
Eye operation,,,,
Hepatitis infectious mononucleosis,,,,
Arthropod bite,,,,
Retinal detachment,,,,
Dry age-related macular degeneration,,,,
Eyelash changes,,,,
Fear of death,,,,
Metastases to muscle,,,,
Injection site reaction,,,,
Device inappropriate shock delivery,,,,
Penetrating aortic ulcer,,,,
Pulmonary imaging procedure abnormal,,,,
Renal cell carcinoma stage IV,,,,
Large intestine anastomosis,,,,
Botulism,,,,
Panniculitis,,,,
Neonatal disorder,,,,
Intestinal perforation,,,,
Urine sodium increased,,,,
Meralgia paraesthetica,,,,
Optic nerve injury,,,,
Optic nerve disorder,,,,
Labyrinthine fistula,,,,
Internal fixation of fracture,,,,
Birth mark,,,,
Prostatic obstruction,,,,
Wheezing,,,,
Gallbladder polyp,,,,
General symptom,,,,
Fusarium infection,,,,
Neonatal respiratory depression,,,,
Arrested labour,,,,
Optical coherence tomography abnormal,,,,
Foetal monitoring abnormal,,,,
Hypoxanthine-guanine phosphoribosyl transferase deficiency,,,,
Temporomandibular joint syndrome,,,,
Huntington's disease,,,,
Neutropenic sepsis,,,,
Uterine tumour excision,,,,
Inadequate aseptic technique in manufacturing of product,,,,
Hepatectomy,,,,
Malignant nervous system neoplasm,,,,
Osteopetrosis,,,,
Type I hypersensitivity,,,,
Tooth pulp haemorrhage,,,,
Dizziness postural,dizziness,unsteadiness,loss_of_balance,
Hepatic atrophy,,,,
Arthroscopic surgery,,,,
Mixed anxiety and depressive disorder,anxiety,,,
Fear of falling,,,,
Stereotypy,,,,
Frontotemporal dementia,,,,
Parathyroid tumour malignant,,,,
Faecal vomiting,,,,
Subclavian vein thrombosis,,,,
Atrial hypertrophy,,,,
Renal hypertrophy,,,,
Gastric ulcer helicobacter,,,,
Troponin T increased,,,,
Hallucination,,,,
Pharyngeal haemorrhage,,,,
Lividity,,,,
Skin lesion,,,,
Tuberculosis,,,,
Phlebitis,,,,
Toxic encephalopathy,,,,
Joint swelling,swelling_joints,,,
Subacute endocarditis,,,,
Red blood cells urine,spotting_ urination,,,
Premedication,,,,
Cytomegalovirus gastroenteritis,,,,
Fanconi syndrome,,,,
Central nervous system mass,,,,
Reflux laryngitis,,,,
Brain stem glioma,,,,
Seborrhoeic keratosis,,,,
Prosthesis implantation,,,,
Calcinosis,,,,
White matter lesion,,,,
Transplant,,,,
FEV1/FVC ratio abnormal,,,,
Anticonvulsant drug level decreased,,,,
Occult blood,,,,
Implant site irritation,,,,
Eyelid contusion,,,,
Maternal distress during labour,,,,
Victim of abuse,,,,
Cytopenia,,,,
Catheter site abscess,,,,
Sepsis syndrome,,,,
Brain sarcoma,,,,
Arm amputation,,,,
Penile haematoma,,,,
Stridor,,,,
Device deposit issue,,,,
Corneal reflex decreased,,,,
Post vaccination syndrome,,,,
Polyuria,,,,
Anterior chamber flare,,,,
Sinusitis aspergillus,,,,
Gastrointestinal wall thickening,,,,
Metastases to pleura,,,,
Pulmonary venous thrombosis,,,,
Loose body in joint,,,,
Uterine atrophy,,,,
Arthritis salmonella,,,,
Abortion induced incomplete,,,,
Joint stiffness,movement_stiffness,,,
Blood bilirubin unconjugated increased,,,,
Oestrogen receptor assay positive,,,,
Drug tolerance decreased,,,,
Brugada syndrome,,,,
Acarodermatitis,,,,
Facial asymmetry,,,,
Appendicitis perforated,,,,
Asphyxia,,,,
Lymphorrhoea,,,,
Acinetobacter infection,,,,
Nasal septal operation,,,,
Calciphylaxis,,,,
Adrenal atrophy,,,,
Hepatitis acute,,,,
Injection site nerve damage,,,,
Breath holding,,,,
Pyuria,,,,
Prothrombin level abnormal,,,,
Foot deformity,,,,
Vaccination site infection,,,,
Penile operation,,,,
Anastomotic ulcer,,,,
Hypothyroidism,,,,
Uterine perforation,,,,
Hypothalamic pituitary adrenal axis suppression,,,,
Diverticular perforation,,,,
Cholestasis,,,,
First bite syndrome,,,,
Hypomagnesaemia,,,,
Foetal arrhythmia,,,,
Rebound psoriasis,,,,
Corneal oedema,,,,
Gallbladder obstruction,,,,
Tri-iodothyronine decreased,,,,
Meningitis candida,,,,
Muscle tone disorder,,,,
Red blood cell poikilocytes present,,,,
Myosclerosis,,,,
Klebsiella test positive,,,,
Intertrigo,,,,
Benign salivary gland neoplasm,,,,
Gitelman's syndrome,,,,
Carotid arterial embolus,,,,
Transgender hormonal therapy,,,,
Muscle necrosis,,,,
Jaundice neonatal,yellowish_skin,yellowing_of_eyes,,
BRASH syndrome,,,,
Spinal cord ischaemia,,,,
Neutrophil toxic granulation present,,,,
Rhinovirus infection,,,,
Bursitis infective,,,,
Iron binding capacity total abnormal,,,,
Motion sickness,,,,
Psoas abscess,,,,
Chronic pigmented purpura,,,,
Crigler-Najjar syndrome,,,,
Non-24-hour sleep-wake disorder,,,,
Volume blood decreased,,,,
Transient hypogammaglobulinaemia of infancy,,,,
Inappropriate schedule of product administration,,,,
Gingival injury,,,,
Open reduction of fracture,,,,
Hypercholesterolaemia,,,,
Age-related macular degeneration,,,,
Nail psoriasis,brittle_nails,small_dents_in_nails,,
JC virus granule cell neuronopathy,,,,
Combined pulmonary fibrosis and emphysema,,,,
Hodgkin's disease stage IV,,,,
Respiratory tract infection viral,,,,
Abortion threatened,,,,
Proctitis ulcerative,,,,
Gastrointestinal bacterial infection,,,,
Lip discolouration,,,,
Abdominal tenderness,,,,
Colour blindness,,,,
Sensation of foreign body,,,,
Angiolipoma,,,,
Lacunar stroke,,,,
Hepatic function abnormal,,,,
Administration site erythema,,,,
Orbital oedema,,,,
Eczema infantile,,,,
Application site dryness,,,,
Tonsil cancer,,,,
Thoracic radiculopathy,,,,
Acne,,,,
Stevens-Johnson syndrome,,,,
Oesophageal atresia,,,,
Ileectomy,,,,
Cardiac septal defect,,,,
Diet noncompliance,,,,
Blood chloride increased,,,,
Hand dermatitis,,,,
Stent-graft endoleak,,,,
Antibody test positive,,,,
Blood potassium increased,,,,
Humidity intolerance,,,,
Tooth hypoplasia,,,,
Infusion site erosion,,,,
Venous thrombosis,,,,
Oestradiol decreased,,,,
Visual perseveration,,,,
Oral dysaesthesia,,,,
Haematology test abnormal,,,,
Large for dates baby,,,,
Eczema,,,,
Akinesia,,,,
Increased viscosity of upper respiratory secretion,,,,
Staphylococcal impetigo,,,,
Eye discharge,,,,
Nasal polypectomy,,,,
"Sleep disorder due to general medical condition, hypersomnia type",,,,
Musculoskeletal disorder,,,,
Gastrointestinal obstruction,,,,
Retinal operation,,,,
Flashback,,,,
Diarrhoea infectious,diarrhoea,,,
Sickle cell anaemia,,,,
Lupus vasculitis,swollen_blood_vessels,,,
Eye swelling,,,,
Post-tussive vomiting,,,,
Oesophageal squamous cell carcinoma recurrent,,,,
Gastrointestinal candidiasis,,,,
Laparoscopy,,,,
Intervertebral disc calcification,,,,
Uterovaginal prolapse,,,,
Pulmonary fibrosis,,,,
Hepatic enzyme abnormal,,,,
Tooth discolouration,,,,
Poverty of speech,,,,
Exophthalmos,,,,
Pneumonectomy,,,,
Drug withdrawal syndrome,,,,
Peripheral circulatory failure,,,,
Gastric volvulus,,,,
Small fibre neuropathy,,,,
Transfusion reaction,,,,
Hyperthermia,,,,
Hand amputation,,,,
Immunodeficiency,,,,
Failure of child resistant product closure,,,,
Claudication of jaw muscles,,,,
Mycobacterium kansasii infection,,,,
Peripheral venous disease,,,,
Ebstein's anomaly,,,,
Transfusion related complication,,,,
Face lift,,,,
Congenital osteodystrophy,,,,
Product substitution issue,,,,
Fluid overload,fluid_overload,,,
Dropped head syndrome,,,,
Delayed graft function,,,,
Small for dates baby,,,,
Otitis externa bacterial,,,,
Granulocyte-colony stimulating factor level increased,,,,
Differential white blood cell count abnormal,,,,
Breast cancer,,,,
Kidney contusion,,,,
B-lymphocyte count abnormal,,,,
Joint injection,,,,
Withdrawal of life support,,,,
Dyssomnia,,,,
Unintended pregnancy,,,,
Colostomy,,,,
Testicular oedema,,,,
Hypermetropia,,,,
Off label use of device,,,,
PO2 abnormal,,,,
Tick paralysis,,,,
Cervical spinal cord paralysis,,,,
Blood pressure fluctuation,,,,
Anal abscess,,,,
Medical device site reaction,,,,
Tonic convulsion,,,,
Adenoidectomy,,,,
Partner stress,,,,
Renal scan abnormal,,,,
Dental pulp disorder,,,,
Pregnancy with contraceptive device,,,,
Micturition disorder,burning_micturition,,,
Aortic valve replacement,,,,
Lyme disease,,,,
Eyelid cyst,,,,
Hypercalcaemia of malignancy,,,,
Spinocerebellar disorder,,,,
Administration site extravasation,,,,
Ovarian cyst ruptured,,,,
Road traffic accident,,,,
Acute myeloid leukaemia refractory,,,,
Granulocytopenia,,,,
Large intestinal polypectomy,,,,
Computerised tomogram,,,,
Alcohol intolerance,,,,
Metastases to liver,,,,
Coma scale abnormal,,,,
Periorbital inflammation,,,,
Pneumonia chlamydial,,,,
Body surface area increased,,,,
Ovarian cancer stage IV,,,,
Metastases to pelvis,,,,
Withdrawal syndrome,,,,
Flagellate dermatitis,,,,
Colon operation,,,,
Meningoradiculitis,,,,
Neonatal anoxia,,,,
Ocular myasthenia,,,,
Intestinal cyst,,,,
Portal hypertensive gastropathy,,,,
Counterfeit product administered,,,,
Wheelchair user,,,,
Crush syndrome,,,,
Antipsychotic drug level decreased,,,,
Metastases to urinary tract,,,,
Personality change,,,,
Vasculitis,swollen_blood_vessels,,,
Cytology abnormal,,,,
Truncus coeliacus thrombosis,,,,
Metastatic squamous cell carcinoma,,,,
Thoracotomy,,,,
Hoffmann's sign,,,,
Hydronephrosis,,,,
Congenital heart valve incompetence,,,,
Blood pressure diastolic increased,,,,
Atrial pressure increased,,,,
Abdominal infection,,,,
Syringe issue,,,,
Plague,,,,
Perfume sensitivity,,,,
Pseudolymphoma,,,,
Focal dyscognitive seizures,,,,
Chest injury,,,,
Blood uric acid,,,,
Human bocavirus infection,,,,
Device issue,,,,
Endometrial thickening,,,,
Renal cancer stage IV,,,,
Leber's congenital amaurosis,,,,
Acute coronary syndrome,,,,
Neoplasm prostate,,,,
Red blood cell abnormality,,,,
Persistent genital arousal disorder,,,,
Noninfective retinitis,,,,
Respiratory depression,,,,
Visceral congestion,,,,
Finger amputation,,,,
Diabetic neuropathy,,,,
Diabetes mellitus,,,,
Immune-mediated thyroiditis,,,,
Aortic aneurysm repair,,,,
Genitals enlarged,,,,
Thromboembolectomy,,,,
Diplegia,,,,
Pyoderma streptococcal,,,,
Pancreatic calcification,,,,
Acute phase reaction,,,,
Arterial thrombosis,,,,
Application site papules,,,,
Ovarian disorder,,,,
Cerebral haemorrhage foetal,,,,
Poverty of thought content,,,,
Mucoepidermoid carcinoma,,,,
Gastrointestinal ulcer,,,,
Monoclonal immunoglobulin present,,,,
Pseudocirrhosis,,,,
Rabbit syndrome,,,,
Rheumatic fever,high_fever,,,
Myopic chorioretinal degeneration,,,,
Pneumonia fungal,,,,
Progesterone decreased,,,,
Intestinal villi atrophy,,,,
Hyperviscosity syndrome,,,,
Homosexuality,,,,
Flail chest,,,,
Thumb sucking,,,,
Gaucher's disease,,,,
Anonychia,,,,
Human metapneumovirus test positive,,,,
Spinal cord paralysis,,,,
Lymphadenitis,,,,
Myeloma cast nephropathy,,,,
Application site discharge,,,,
Lymphatic fistula,,,,
Hypocapnia,,,,
Infantile vomiting,,,,
Product sterility lacking,,,,
Drug intolerance,,,,
Tongue cyst,,,,
Myasthenic syndrome,,,,
Skin fibrosis,,,,
SARS-CoV-2 test,,,,
Cardiac hypertrophy,,,,
Platelet morphology abnormal,,,,
Oxygen saturation abnormal,,,,
Diffuse idiopathic skeletal hyperostosis,,,,
Normochromic anaemia,,,,
Judgement impaired,,,,
Lip ulceration,,,,
Rectal spasm,,,,
Plethysmography,,,,
Infusion site swelling,,,,
Cosmetic body piercing,,,,
Cubital tunnel syndrome,,,,
Snake bite,,,,
Cholelithiasis,,,,
Benign cardiac neoplasm,,,,
XIth nerve paralysis,,,,
Gastrin secretion disorder,,,,
Oral herpes,,,,
Congenital arterial malformation,,,,
Skin wrinkling,,,,
Carotid artery thrombosis,,,,
Vulval haemorrhage,,,,
Alanine aminotransferase abnormal,,,,
Clinically isolated syndrome,,,,
Basilar migraine,,,,
Body temperature fluctuation,,,,
Hypertensive emergency,,,,
Haemophilus infection,,,,
Conjunctival disorder,,,,
Eye symptom,,,,
Injection site pallor,,,,
Out of specification product use,,,,
Phagophobia,,,,
Hereditary haemochromatosis,,,,
Bronchial neoplasm,,,,
Pleural calcification,,,,
Malignant melanoma stage I,,,,
Injection site warmth,,,,
Pulmonary vein stenosis,,,,
Faecal calprotectin increased,,,,
Administration site discomfort,,,,
Microsporidia infection,,,,
Gingival hypertrophy,,,,
Glossopharyngeal nerve disorder,,,,
Foetal disorder,,,,
Device intolerance,,,,
Spontaneous haemorrhage,,,,
Protein urine,,,,
Factor VIII deficiency,,,,
Shunt stenosis,,,,
Failed induction of labour,,,,
Methylenetetrahydrofolate reductase deficiency,,,,
Metastases to retroperitoneum,,,,
Normal tension glaucoma,,,,
Transverse sinus thrombosis,,,,
Administration site necrosis,,,,
Hypothermia,,,,
Essential tremor,,,,
Hyperphosphatasaemia,,,,
Wrong dose,,,,
Hypertrophy,,,,
Migraine with aura,visual_disturbances,,,
Corneal graft rejection,,,,
Synovectomy,,,,
Terminal agitation,,,,
Macroglossia,,,,
Anencephaly,,,,
Major depression,depression,,,
Electrocardiogram PR prolongation,,,,
Varicose ulceration,,,,
Oedema due to renal disease,,,,
Chitotriosidase increased,,,,
Implant site hyperaesthesia,,,,
Platelet dysfunction,,,,
Aortitis,,,,
Excessive granulation tissue,,,,
Spinal fusion acquired,,,,
Ear tube insertion,,,,
Immune reconstitution inflammatory syndrome associated tuberculosis,,,,
Therapeutic product ineffective,,,,
Ceruloplasmin decreased,,,,
Cerebellar tumour,,,,
Skin candida,,,,
Hepatitis E antibody positive,,,,
Lacrimation increased,,,,
Arterial stenosis,,,,
Communication disorder,,,,
Leukaemic infiltration pulmonary,,,,
Loss of visual contrast sensitivity,,,,
Thoracic cavity drainage,,,,
Illogical thinking,,,,
Enterococcal sepsis,,,,
Mannose-binding lectin deficiency,,,,
Prostate induration,,,,
Renal vasculitis,Vasculitis,,,
Interstitial granulomatous dermatitis,,,,
Hip fracture,,,,
Fumbling,,,,
Incisional drainage,,,,
Sinus arrest,,,,
Premature baby,,,,
Thyroxine free decreased,,,,
Salivary gland cyst,,,,
Pleurisy viral,,,,
Erythropoiesis abnormal,,,,
Atrioventricular block,,,,
Necrotising soft tissue infection,,,,
Exposure to communicable disease,,,,
Epilepsy,,,,
Maternal exposure during delivery,,,,
Thunderclap headache,headache,,,
Microstomia,,,,
Blood phosphorus abnormal,,,,
Gastrectomy,,,,
Myasthenia gravis crisis,,,,
Stomal varices,,,,
Tooth malformation,,,,
Granulocytosis,,,,
Anastomotic haemorrhage,,,,
Retinitis viral,,,,
Spinal column injury,,,,
Tinea manuum,,,,
Polychromasia,,,,
Stem cell transplant,,,,
Wound haematoma,,,,
Prostate cancer stage III,,,,
Implant site pain,,,,
Testicular microlithiasis,,,,
Incarcerated hernia,,,,
Heart rate normal,,,,
Protein total increased,,,,
Lip and/or oral cavity cancer stage I,,,,
Hypogeusia,,,,
Placental infarction,,,,
Endoscopy,,,,
Urine flow decreased,,,,
Dental cleaning,,,,
Wound sepsis,,,,
Asthma exercise induced,,,,
Lung diffusion test abnormal,,,,
Subcutaneous drug absorption impaired,,,,
Arteriovenous graft site stenosis,,,,
Tongue biting,,,,
Indifference,,,,
Gastrointestinal stenosis,,,,
Gastrointestinal erosion,,,,
False positive investigation result,,,,
Adenocarcinoma,,,,
Abscess fungal,,,,
Palpitations,palpitations,,,
Haematuria traumatic,,,,
Dysgeusia,,,,
Suspected product tampering,,,,
Medical device site papule,,,,
Electrocardiogram QT shortened,,,,
Oedema mouth,,,,
Cleft uvula,,,,
Papule,,,,
"Delusional disorder, unspecified type",,,,
Mediastinal disorder,,,,
Arterial intramural haematoma,,,,
Periorbital haematoma,,,,
Intracranial meningioma malignant,,,,
Uterine neoplasm,,,,
Renal dysplasia,,,,
Prominent epicanthal folds,,,,
Acute endocarditis,,,,
Ventricular septal defect repair,,,,
Product cleaning inadequate,,,,
Injection site exfoliation,,,,
Implantable cardiac monitor removal,,,,
N-telopeptide,,,,
Solar urticaria,,,,
Multiple sclerosis relapse,,,,
Sinus rhythm,,,,
Brain natriuretic peptide increased,,,,
Blood folate abnormal,,,,
Febrile infection,,,,
Penile erythema,,,,
Vaginal cuff dehiscence,,,,
Lymphangiopathy,,,,
Lower limb fracture,,,,
Lithiasis,,,,
Therapeutic response decreased,,,,
Anti factor VIII antibody positive,,,,
Gastrointestinal anastomotic stenosis,,,,
Myxoid liposarcoma,,,,
Scrotal dermatitis,,,,
Urogram abnormal,,,,
Hodgkin's disease mixed cellularity stage unspecified,,,,
Product dispensing error,,,,
Tendon disorder,,,,
Blood homocysteine increased,,,,
Sputum decreased,blood_in_sputum,mucoid_sputum,,
Cryptococcal fungaemia,,,,
Xanthelasma,,,,
Encephalopathy,,,,
Head deformity,,,,
Exposure via breast milk,,,,
Lip neoplasm malignant stage unspecified,,,,
Diastolic dysfunction,,,,
Cholangitis sclerosing,,,,
Carotid bruit,,,,
Hand-foot-and-mouth disease,,,,
Anticoagulation drug level below therapeutic,,,,
Polychondritis,,,,
Airway complication of anaesthesia,,,,
Shunt occlusion,,,,
Dermal cyst,,,,
Eyelid myoclonus,,,,
Meningitis tuberculous,,,,
Poor quality sleep,,,,
Assisted delivery,,,,
Coagulation factor XIII level decreased,,,,
Infusion site oedema,,,,
Superior sagittal sinus thrombosis,,,,
Cryptococcal cutaneous infection,,,,
Detrusor sphincter dyssynergia,,,,
Blood creatinine abnormal,,,,
Chromoblastomycosis,,,,
Paraneoplastic glomerulonephritis,,,,
Fungal skin infection,,,,
Hypertensive crisis,,,,
Appendicitis,,,,
Neoplasm skin,,,,
Noninfective sialoadenitis,,,,
Endocarditis,,,,
Rectal tenesmus,,,,
Acute hepatitis C,,,,
Testicle adenoma,,,,
Naevoid melanoma,,,,
Congenital aortic valve stenosis,,,,
Lichen sclerosus,,,,
CD4 lymphocytes abnormal,,,,
Device breakage,,,,
Orgasmic sensation decreased,,,,
Atrial flutter,,,,
Progressive supranuclear palsy,,,,
Parkinson's disease psychosis,,,,
Pelvic haematoma,,,,
Anti-zinc transporter 8 antibody positive,,,,
Mouth haemorrhage,,,,
Hyperplasia,,,,
Nodular fasciitis,,,,
Septic necrosis,,,,
Articular disc disorder,,,,
Lung neoplasm,,,,
Glossitis,,,,
Myoclonus,,,,
Alternaria infection,,,,
Iron binding capacity total decreased,,,,
Cyst rupture,,,,
Incorrect product formulation administered,,,,
Schwannoma,,,,
Antiandrogen therapy,,,,
Lasegue's test positive,,,,
Sensitivity to weather change,,,,
Cytomegalovirus oesophagitis,,,,
Pericardial calcification,,,,
COVID-19,,,,
Corneal endotheliitis,,,,
Aortic restenosis,,,,
CSF virus identified,,,,
Bladder cancer recurrent,,,,
Gastroenteritis bacterial,,,,
Facial bones fracture,,,,
Drooping shoulder syndrome,,,,
Vagal nerve stimulator removal,,,,
Gravitational oedema,,,,
Hepatic enzyme increased,,,,
Encephalomalacia,,,,
Echolalia,,,,
Myocardial stunning,,,,
Bruxism,,,,
Tongue erythema,,,,
Cardiospasm,,,,
Electrocardiogram ST segment abnormal,,,,
Blood elastase,,,,
Anosognosia,,,,
Klippel-Feil syndrome,,,,
Platelet aggregation abnormal,,,,
Clostridium colitis,,,,
Stoma site haemorrhage,,,,
Fungal peritonitis,,,,
Hypnagogic hallucination,,,,
Bone loss,,,,
Central venous catheterisation,,,,
Erythema,,,,
Herpes zoster infection neurological,,,,
Immediate post-injection reaction,,,,
Angiopathic neuropathy,,,,
Orthostatic intolerance,,,,
Pseudopapilloedema,,,,
Hypergastrinaemia,,,,
Plasma cell myeloma,,,,
Lipase decreased,,,,
Radioactive iodine therapy,,,,
Pneumonia proteus,,,,
Oral mucosa erosion,,,,
Renal embolism,,,,
Allergic transfusion reaction,,,,
Venous injury,,,,
Growing pains,,,,
Bronchiolitis,,,,
Compression fracture,,,,
Left ventricle outflow tract obstruction,,,,
Angular cheilitis,,,,
Pharyngeal cancer,,,,
Cockroach allergy,,,,
Tongue spasm,,,,
Pyelonephritis,,,,
Pulmonary interstitial emphysema syndrome,,,,
Restless legs syndrome,,,,
Adult failure to thrive,,,,
Intentional underdose,,,,
Viral tonsillitis,,,,
Ostomy bag placement,,,,
Impulse-control disorder,,,,
Autoimmune pancytopenia,,,,
Uterine cervical metaplasia,,,,
Spinal cord injury,,,,
Pulse pressure increased,,,,
Optic nerve neoplasm,,,,
Body temperature decreased,,,,
Mastitis,,,,
Biopsy skin abnormal,,,,
Premenstrual pain,,,,
Gastrointestinal adenocarcinoma,,,,
Extraocular muscle paresis,,,,
Dependent personality disorder,,,,
Anovulatory cycle,,,,
Argon plasma coagulation,,,,
Antipsychotic drug level above therapeutic,,,,
Abdominal wound dehiscence,,,,
Murphy's sign positive,,,,
Acrochordon,,,,
Pulmonary arterial pressure abnormal,,,,
Anal injury,,,,
Hepatic artery occlusion,,,,
Laryngeal haematoma,,,,
Asthma,,,,
Post thrombotic syndrome,,,,
Cullen's sign,,,,
Thyroid gland abscess,,,,
Electrocardiogram U-wave prominent,,,,
Blood mercury abnormal,,,,
5-hydroxyindolacetic acid increased,,,,
Eyelid bleeding,,,,
Cervix disorder,,,,
Pericarditis adhesive,,,,
Keratitis,,,,
Congenital inguinal hernia,,,,
Spinal cord infarction,,,,
Gastrointestinal sounds abnormal,,,,
Bladder irrigation,,,,
Therapeutic product cross-reactivity,,,,
Device embolisation,,,,
Eyelid thickening,,,,
Basosquamous carcinoma,,,,
Low turnover osteopathy,,,,
Platelet function test abnormal,,,,
Blood creatine phosphokinase MB increased,,,,
Procedural site reaction,,,,
Breath sounds absent,,,,
Hepatic vein dilatation,,,,
Plasmodium falciparum infection,,,,
Bezold-Jarisch reflex,,,,
Systemic mycosis,,,,
Infusion site paraesthesia,,,,
Primary ciliary dyskinesia,,,,
Pancreatic duct obstruction,,,,
Coma neonatal,,,,
Oropharyngeal oedema,,,,
Leukostasis syndrome,,,,
Nitrituria,,,,
Gallbladder cancer,,,,
Prophylaxis against transplant rejection,,,,
Axillary vein thrombosis,,,,
Tricuspid valve replacement,,,,
Congenital cardiovascular anomaly,,,,
Fibrocystic breast disease,,,,
Ovarian cancer metastatic,,,,
Thoracic operation,,,,
Encephalitis haemorrhagic,,,,
Photodermatosis,,,,
Lens disorder,,,,
Injection site pustule,,,,
Therapeutic response changed,,,,
Aleukaemic leukaemia,,,,
Inadequate diet,,,,
Activated partial thromboplastin time abnormal,,,,
Small intestinal stenosis,,,,
Electrocardiogram QT prolonged,,,,
Brain stem ischaemia,,,,
Bladder dilatation,,,,
Acute graft versus host disease in skin,,,,
Serratia infection,,,,
Infection,,,,
Hypopharyngeal cancer recurrent,,,,
Blood thyroid stimulating hormone normal,,,,
Lymphoma operation,,,,
Eosinophilic cellulitis,,,,
Hyperchloraemia,,,,
Circulatory collapse,,,,
Therapeutic drug monitoring analysis not performed,,,,
Glycosylated haemoglobin,,,,
Stoma site oedema,,,,
Retinal degeneration,,,,
Dural abscess,,,,
Choking sensation,,,,
Bone lesion excision,,,,
Oesophagogastric fundoplasty,,,,
Disability assessment scale score increased,,,,
Labile blood pressure,,,,
Iritis,,,,
Atypical fracture,,,,
Acinetobacter test positive,,,,
Stress ulcer,,,,
Escherichia peritonitis,,,,
Autonomic neuropathy,,,,
Unevaluable event,,,,
Gastroenteritis clostridial,,,,
Renal cell carcinoma recurrent,,,,
Abnormal withdrawal bleeding,,,,
Thyroid neoplasm,,,,
Endometriosis,,,,
Chromosomal deletion,,,,
Citrate toxicity,,,,
Pneumoconiosis,,,,
Blood creatinine decreased,,,,
